instruction,answer
Beri rekomendasi makanan kategori Ayam & bebek/Aneka nasi/India.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Aneka nasi/India, ada rekomendasi bagus nih! Coba deh ke **Ahmeds Kitchen** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Paket Nasi Biryani Ayam Khas Dubai + Teh Manis Dingin | Harga: 66000.0
- Paket Nasi Ayam Penyet Special + Teh Manis Dingin | Harga: 28000.0
- Paket Nasi Goreng Ayam Special + Teh Manis Dingin | Harga: 28000.0
- Paket Nasi Ayam Cabe Ijo + Teh Manis Dingin | Harga: 28000.0
- Paket Nasi Ayam Geprek Spesial + Teh Manis Dingin | Harga: 28000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Ayam & bebek/Minuman.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Ayam & bebek/Minuman, ada rekomendasi bagus nih! Coba deh ke **Aiciro, BG Junction** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Chicken Fillet | Harga: 24500.0
- Kentang | Harga: 19500.0
- Siomay | Harga: 22500.0
- Nugget | Harga: 22500.0
- Chicken Skin | Harga: 21500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Korea.,"Halo! 🌟
Kalau kamu mau makan Korea, ada rekomendasi bagus nih! Coba deh ke **Airo Kitchen** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Paket Combo A (Tteokbokki + Squash Drinks) | Harga: 58000.0
- Paket Combo B (Mini Rice Roll + Squash Drinks) | Harga: 45000.0
- Paket Combo C (Rice Roll + Squash Drinks) | Harga: 62000.0
- Paket Combo D (Gangjeong Chicken Rice + Squash Drinks) | Harga: 62000.0
- Paket Combo E (Rice Roll + Tteokbokki) | Harga: 80000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Roti/Sweets.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Roti/Sweets, ada rekomendasi bagus nih! Coba deh ke **Amalia Cake, Wringinanom** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Original | Harga: 15000.0
- Stroberi | Harga: 15000.0
- Tiramisu | Harga: 15000.0
- Cheese | Harga: 18000.0
- Oreo | Harga: 18000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti.,"Halo! 🌟
Kalau kamu mau makan Roti, ada rekomendasi bagus nih! Coba deh ke **Amanda Brownies, Sunggal** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Paket Cheese | Harga: 146000.0
- Brownies Original | Harga: 39000.0
- Brownies Cream Cheese | Harga: 66000.0
- Brownies Sarikaya Pandan | Harga: 45000.0
- Brownies Choco Marble | Harga: 47000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Roti/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Amanda Brownies, Tegalsari** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Paket Cheese | Harga: 146000.0
- Sagu Keju | Harga: 60000.0
- Nastar Original | Harga: 60000.0
- Nastar Greentea | Harga: 60000.0
- Palm Cheese | Harga: 60000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Aneka Bothok, Sukolilo** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Bothok Jeroan / Ati | Harga: 12000.0
- Bothok Tawon | Harga: 12000.0
- Bothok Kutuk | Harga: 9000.0
- Bothok Patin | Harga: 9000.0
- Bothok Jamur | Harga: 9000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Minuman.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Minuman, ada rekomendasi bagus nih! Coba deh ke **Aneka Gorengan Siaga** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- bakwan Sayur | Harga: 1500.0
- tempe Crispi | Harga: 1500.0
- tahu Jeletot | Harga: 1500.0
- tahu Pong | Harga: 1500.0
- risole | Harga: 1500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Aneka Seblak Endull** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Rice Bowl Teriyaki Endull | Harga: 16500.0
- Seblak Bakcil | Harga: 20000.0
- Seblak Unyu | Harga: 18000.0
- Seblak Jeletet Endoll | Harga: 23000.0
- Seblak Komplit | Harga: 23000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Sate/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Sate/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Angkringan Abas Krian** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Nasi Bakar Ayam Suwir | Harga: 8000.0
- Nasi Bakar Teri | Harga: 8000.0
- Nasi Bkr Tuna | Harga: 8000.0
- Kerang Bakar | Harga: 3800.0
- Sate Usus Bakar | Harga: 4000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Chinese.,"Halo! 🌟
Kalau kamu mau makan Chinese, ada rekomendasi bagus nih! Coba deh ke **Arangsimpur** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Tiam MIE | Harga: 34000.0
- TiamMie | Harga: 39000.0
- Nasi Goreng Sapi | Harga: 48000.0
- Kwetiaw Sapi | Harga: 48000.0
- Telur  CEPLOK | Harga: 6000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Minuman/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Minuman/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **Arkana Cafe, Tuasan** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Nasi Ayam Penyet | Harga: 13000.0
- Nasi Ayam Penyet Cabe Ijo | Harga: 13000.0
- Nasi Goreng Telur | Harga: 12000.0
- Nasi Goreng Kampung | Harga: 14000.0
- Nasi Goreng Spesial | Harga: 17000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Bakso & soto/Barat.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Bakso & soto/Barat, ada rekomendasi bagus nih! Coba deh ke **Aromora Cafe, Medan Tembung** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- chicken chops | Harga: 28000.0
- kwitiaw kungfu | Harga: 28000.0
- spageti chicken merona | Harga: 25000.0
- nasi goreng special | Harga: 27000.0
- nasi ayam penyet | Harga: 25000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Cepat saji/Kopi.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Cepat saji/Kopi, ada rekomendasi bagus nih! Coba deh ke **Assalam Resto** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Sop Ikan Gurame/Nila | Harga: 65000.0
- Gurame/Nila Saos Padang | Harga: 65000.0
- Gurame Asam Manis | Harga: 65000.0
- Gurame/Nila Tauco | Harga: 65000.0
- Ikan Gurame Goreng Terbang | Harga: 50000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Ayam & bebek/Bakmie.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Ayam & bebek/Bakmie, ada rekomendasi bagus nih! Coba deh ke **Ayam Gacoan,Waru** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Rice Bowl Ayam Opor | Harga: 25000.0
- Spesial Ayam Gemez | Harga: 25000.0
- Spesial Ayam Geprek | Harga: 20000.0
- Special Ayam Geprek Keju | Harga: 24000.0
- Special Ayam Geprek Mozarella | Harga: 26000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakmie/Aneka nasi/Ayam & bebek.,"Halo! 🌟
Kalau kamu mau makan Bakmie/Aneka nasi/Ayam & bebek, ada rekomendasi bagus nih! Coba deh ke **Ayam Gacoan,Waru** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Rice Bowl Ayam Opor | Harga: 25000.0
- Spesial Ayam Gemez | Harga: 25000.0
- Spesial Ayam Geprek | Harga: 20000.0
- Special Ayam Geprek Keju | Harga: 24000.0
- Special Ayam Geprek Mozarella | Harga: 26000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Ayam & bebek/Seafood.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Ayam & bebek/Seafood, ada rekomendasi bagus nih! Coba deh ke **Ayam Trolok** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Ayam Full | Harga: 100000.0
- Nasi | Harga: 6000.0
- Ayam Dada | Harga: 25000.0
- Ayam Paha | Harga: 25000.0
- Kepala Ayam | Harga: 6000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Barat/Cepat saji/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Barat/Cepat saji/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Ayu Frozen Food** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Naget Ayam So Nice | Harga: 19000.0
- Nugget Champ 250 Gr | Harga: 25000.0
- Bakpao Chik Yen Ayam | Harga: 18500.0
- Bakpao Chik Yen Coklat | Harga: 18500.0
- Bakpao Chik Yen Kacang Ijo | Harga: 18500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Jajanan/Martabak.,"Halo! 🌟
Kalau kamu mau makan Minuman/Jajanan/Martabak, ada rekomendasi bagus nih! Coba deh ke **BABAKARAN BUNDA DAFA** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Sosis Kecil Bakar/ Goreng | Harga: 6000.0
- Sosis Bakar/Goreng Jumbo | Harga: 20000.0
- Sosis Bakar/Goreng Sedang Keju | Harga: 15000.0
- Sosis Bakar/goreng Sedang Lada Hitam | Harga: 15000.0
- Sosis Bakar/goreng Sedang Original | Harga: 15000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **BANANESH** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Pisang Sunpride 1kg | Harga: 19000.0
- Strawberry | Harga: 8000.0
- Pisang Sunpride Cengkeh | Harga: 30000.0
- Sawo Madu | Harga: 16500.0
- Strawberry Ukuran Besar | Harga: 11000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek, ada rekomendasi bagus nih! Coba deh ke **BEBEK SIMAYAKHO SURABAYA** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Paket 1 Sedep | Harga: 36000.0
- Paket 2 Mantep | Harga: 64000.0
- PAKET 3 SEDEP MANTEP | Harga: 88000.0
- PAKET BEBEK GORENG | Harga: 25000.0
- PAKET AYAM GORENG | Harga: 25000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **BICOPI GUNUNGANYAR** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Bicopi Original | Harga: 22500.0
- Bicopi Gula Aren | Harga: 24000.0
- Bicopi Pudeing Caramel | Harga: 25000.0
- Bicopi Hazelnut | Harga: 25000.0
- Bicopi Cream Chesse | Harga: 30000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi.,"Halo! 🌟
Kalau kamu mau makan Kopi, ada rekomendasi bagus nih! Coba deh ke **BS Coffee, Halat** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Es Kopi Coklat | Harga: 22000.0
- Coffe Milk | Harga: 16500.0
- Cofee Milk Brown Sugar | Harga: 16500.0
- Americano | Harga: 15000.0
- Espresso | Harga: 15000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Aneka nasi/Pizza & pasta.,"Halo! 🌟
Kalau kamu mau makan Minuman/Aneka nasi/Pizza & pasta, ada rekomendasi bagus nih! Coba deh ke **Baboi** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Nasi Babi Panggang | Harga: 64000.0
- Nasi Babi Crispy Sambal Matah | Harga: 71000.0
- Babi Panggang Tanpa Nasi | Harga: 57000.0
- Babi Crispy Tanpa Nasi | Harga: 64000.0
- Saksang | Harga: 57000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti.,"Halo! 🌟
Kalau kamu mau makan Roti, ada rekomendasi bagus nih! Coba deh ke **Baked Well, Petula** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- French Toast | Harga: 58000.0
- Waffle | Harga: 58000.0
- Big Toast | Harga: 58000.0
- Pancake | Harga: 58000.0
- Baked Pancake Stack | Harga: 39000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Roti/Minuman/Jajanan.,"Halo! 🌟
Kalau kamu mau makan Roti/Minuman/Jajanan, ada rekomendasi bagus nih! Coba deh ke **Bakerman, SCBD** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- 275 Gr Tenderloin Beef With Truffle Sauce | Harga: 626200.0
- Chicken Croffle Truffle | Harga: 246700.0
- Single Serve Croffle with Ovomaltine | Harga: 35400.0
- Cinnamon Rolls Ovomaltine | Harga: 48100.0
- Ovomaltine Raspberry Tart | Harga: 48100.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Ayam & bebek/Bakmie/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Ayam & bebek/Bakmie/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Bakmi Kun** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Bakmi Istimewa (3 Toppings) | Harga: 49000.0
- Bakmi Special (Bebek Peking + Ayam Kampung) | Harga: 42000.0
- Bakmi Bebek Peking | Harga: 42000.0
- Bakmi Campur (Ayam Kampung + Ayam Cincang) | Harga: 42000.0
- Bakmi Ayam Kampung | Harga: 42000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakmie/Chinese/Minuman.,"Halo! 🌟
Kalau kamu mau makan Bakmie/Chinese/Minuman, ada rekomendasi bagus nih! Coba deh ke **Bakmi Lopui 93** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Bakmi Rebus Kalimantan | Harga: 25000.0
- Bakmi Goreng Kalimantan | Harga: 30000.0
- Bakmi Kuah Kalimantan | Harga: 25000.0
- Bakmi Goreng Kari | Harga: 30000.0
- Bakmi Siram Kalimantan | Harga: 30000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakmie.,"Halo! 🌟
Kalau kamu mau makan Bakmie, ada rekomendasi bagus nih! Coba deh ke **Bakmie Kembar Manurung** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Nasi Goreng | Harga: 22000.0
- Ifomie Goreng | Harga: 22000.0
- Ifomie Kuah | Harga: 22000.0
- Bihun Goreng | Harga: 22000.0
- Bihun Kuah | Harga: 22000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakmie/Chinese.,"Halo! 🌟
Kalau kamu mau makan Bakmie/Chinese, ada rekomendasi bagus nih! Coba deh ke **Bakmie Sedap Siantar** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Telur Kecap (1 Butir) | Harga: 7000.0
- BAKMIE SEDAP SIANTAR | Harga: 25000.0
- BAKMIE SEDAP SIANTAR JUMBO | Harga: 32000.0
- BAKMIE SEDAP SIANTAR POLOS | Harga: 20000.0
- Wanthan 1 Porsi | Harga: 32000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Ayam & bebek/Bakso & soto.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Ayam & bebek/Bakso & soto, ada rekomendasi bagus nih! Coba deh ke **Bakso Anggrek, Marelan** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Milagros 625ml | Harga: 55000.0
- Bakso beranak lava | Harga: 35000.0
- Bakso tumpeng lava | Harga: 35000.0
- Bakso mercon | Harga: 15000.0
- Bakso urat | Harga: 15000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Roti/Bakso & soto.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Roti/Bakso & soto, ada rekomendasi bagus nih! Coba deh ke **Bakso Bakar Hot** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Bakso Bakar Hot | Harga: 11000.0
- Taiso Bakar | Harga: 11000.0
- Sosis Bakar | Harga: 11000.0
- Sosis Bakar Jumbo | Harga: 13700.0
- Bakso Ayam Bumbu Kacang | Harga: 11000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakso & soto.,"Halo! 🌟
Kalau kamu mau makan Bakso & soto, ada rekomendasi bagus nih! Coba deh ke **Bakso Biru, Sidoarjo** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Paket Hemat 1 | Harga: 15600.0
- Paket Hemat 2 | Harga: 17100.0
- Bakso Mercon | Harga: 15600.0
- Bakso Keju | Harga: 15600.0
- Bakso Puyuh | Harga: 15600.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakso & soto.,"Halo! 🌟
Kalau kamu mau makan Bakso & soto, ada rekomendasi bagus nih! Coba deh ke **Bakso Bola, STM** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Mie Ayam Biasa | Harga: 11500.0
- Bakso | Harga: 12500.0
- Mie Ayam + Telor | Harga: 14000.0
- Bakso Isi Telor | Harga: 21000.0
- Bakso + Telor | Harga: 15000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Bakso & soto/Cepat saji.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Bakso & soto/Cepat saji, ada rekomendasi bagus nih! Coba deh ke **Bakso Kenari** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Mantap 1 | Harga: 11500.0
- Mantap 2 | Harga: 15000.0
- Mantap 3 | Harga: 13500.0
- Mantap 4 | Harga: 20500.0
- Mantap 5 | Harga: 11500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakso & soto.,"Halo! 🌟
Kalau kamu mau makan Bakso & soto, ada rekomendasi bagus nih! Coba deh ke **Bakso Lava** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Bakso Lava  .Poyo . | Harga: 8000.0
- Lava Pedas | Harga: 8000.0
- Bakso Lava Poyo | Harga: 8000.0
- Bakso Lava Sosis | Harga: 8000.0
- Lava Daging | Harga: 8000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Jajanan/Bakso & soto/Bakmie.,"Halo! 🌟
Kalau kamu mau makan Jajanan/Bakso & soto/Bakmie, ada rekomendasi bagus nih! Coba deh ke **Bakso Solo Kraton** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Bakso Ayam | Harga: 12500.0
- Bakso Special | Harga: 22000.0
- Bakso Super | Harga: 25000.0
- Bakso Mercon | Harga: 25000.0
- Bakso Urat | Harga: 25000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakso & soto/Minuman.,"Halo! 🌟
Kalau kamu mau makan Bakso & soto/Minuman, ada rekomendasi bagus nih! Coba deh ke **Bakso Titoti, Parung** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Ayam Kampung Goreng Kremes | Harga: 31500.0
- Ayam Kampung Goreng Kremes + Nasi | Harga: 36500.0
- Bakso Mie Campur | Harga: 29000.0
- Bakso Soun/Bihun/Mie Kuning | Harga: 29000.0
- Bakso Spesial | Harga: 39000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Cepat saji/Bakso & soto.,"Halo! 🌟
Kalau kamu mau makan Minuman/Cepat saji/Bakso & soto, ada rekomendasi bagus nih! Coba deh ke **Bakso Tutus** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Bakso Iga | Harga: 38000.0
- Bakso Daging Cincang | Harga: 18000.0
- Bakso Kasar Sedang | Harga: 7200.0
- Bakso Halus Sedang | Harga: 7200.0
- Bakso Halus Kecil | Harga: 3000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Cepat saji/Seafood.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Cepat saji/Seafood, ada rekomendasi bagus nih! Coba deh ke **Bandeng Karimanasi** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Goreng Otak Otak Bandeng | Harga: 49000.0
- BEKU Otak Otak Bandeng | Harga: 37000.0
- GORENG Presto Bandeng Medium Isi 4 | Harga: 46000.0
- BEKU Presto Bandeng Medium isi 4 | Harga: 37000.0
- Beku Bandeng Bakar Cabut Duri | Harga: 45000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Cepat saji/Aneka nasi/Jepang.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Aneka nasi/Jepang, ada rekomendasi bagus nih! Coba deh ke **Banzai!, Bogor Utara** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Happiness Bento Set 1 | Harga: 87890.0
- Happiness Bento Set 2 | Harga: 79890.0
- Oishii Set 1 | Harga: 149980.0
- Oishii Set 2 | Harga: 144980.0
- Chicken Katsu Curry Bento | Harga: 57990.0

Nyam nyam! Pasti enak deh! 😋"
